scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,N,m,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter
48,50,100,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,5000,2500,no,no,0.9469,0.9456,0.9469,0.942,0.9426,0.941,0.9419,0.0236358801034336,-0.00936667161413906,0.0142476088982733,-0.39859731400341575,0.01173733932939432,0.01138167286653674,10000,10000,0,0,2.8702
49,50,10,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,500,250,yes,yes,0.3805,0.5456,0.5454,0.3793,0.3805,0.3205,0.321,3.1055088858737505e-4,5.661275868222278e-4,-0.00191368600561241,-0.4072714508433849,0.04235305898119866,0.04221602592091369,10000,10027,27,0.002692729629999,5.090218803077231
50,50,10,0.6931471805599453,0.01,0.00503839344489988,9.3681459391213e-4,0.00144157599949555,0.00503839344489988,0.00496452367338316,common,-1.9090894474606124,-1.0825242355095177,500,250,yes,yes,0.7348,0.8641,0.8625,0.7343,0.7348,0.6721,0.6739,3.348532626728871e-4,7.825681522046173e-4,-0.00200891634463846,-0.6958817353589568,0.04477552604973768,0.04470593701064086,10000,10044,44,0.00438072481083233,6.3138096188385555
51,50,10,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,500,250,yes,yes,0.3508,0.5131,0.5116,0.3515,0.3508,0.2947,0.2945,0.00369216130011088,0.00177188446794987,-0.00115723422827443,-0.4047044204916906,0.04869441163093348,0.04882142952658461,10000,10038,38,0.00378561466427575,5.2926780541404455
52,50,10,0.6931471805599453,0.02,0.00994698245548732,0.0019221556339004,0.0030385619442695,0.00994698245548732,0.01007600897437107,common,-1.9200930639067004,-1.0894340887185665,500,250,yes,yes,0.7007,0.8315,0.8324,0.7001,0.7007,0.6374,0.6395,0.003819857200192,0.00163694683380465,-0.00127448443219303,-0.6961663746783636,0.05074872880783084,0.05079273704869744,10000,10061,61,0.00606301560481065,6.023457776003195
53,50,10,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,500,250,yes,yes,0.2866,0.446,0.4464,0.2881,0.2866,0.2353,0.2362,0.01414861644858679,0.00525620970682669,0.00122203976245825,-0.4056795264464767,0.06884267844520135,0.06876944389588323,10000,10059,59,0.00586539417437121,6.251147933719305
54,50,10,0.6931471805599453,0.05,0.02446496330743793,0.0047564018081213,0.00746722907179749,0.02446496330743793,0.02479841432778171,common,-1.9541518011800405,-1.11082484257754,500,250,yes,yes,0.5915,0.7373,0.739,0.5908,0.5915,0.5279,0.5307,0.01310999606332973,0.00512399067611244,0.00106394947831927,-0.692964774618408,0.06976536137012149,0.06948386381505797,10000,10088,88,0.00872323552735923,6.85315243415802
55,100,10,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,1000,500,yes,yes,0.5921,0.7463,0.7451,0.5929,0.5921,0.5249,0.5245,0.00165988891045716,8.916870851587144e-4,-6.061712693912406e-4,-0.4072004950417813,0.02371318373764476,0.02374821090920584,10000,10006,6,5.996402158704777e-4,4.136186381361864
56,100,10,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,1000,500,yes,yes,0.5317,0.6904,0.6893,0.5321,0.5317,0.4673,0.4676,0.00544536362513154,0.00215527036493034,3.0051721997561117e-4,-0.4048516564449264,0.02954896618812983,0.02964448018211453,10000,10023,23,0.00229472213908011,4.428771368589423
57,100,10,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,1000,500,yes,yes,0.396,0.5573,0.5573,0.3971,0.396,0.34,0.342,0.01653570429091885,0.00569577416023605,0.00252703165963431,-0.40488357076042686,0.04792422749139487,0.0480082457900685,10000,10048,48,0.00477707006369426,5.286156612065521
58,50,20,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,1000,500,yes,yes,0.642,0.7198,0.7197,0.6419,0.642,0.6202,0.6192,0.0022171009317745,9.70657854490115e-4,-5.146442570532068e-4,-0.40731374098499307,0.02559960961408567,0.02556477452865741,10000,10000,0,0,3.1192
59,50,20,0.6931471805599453,0.01,0.00503839344489988,9.3681459391213e-4,0.00144157599949555,0.00503839344489988,0.00496452367338316,common,-1.9090894474606124,-1.0825242355095177,1000,500,yes,yes,0.9582,0.9728,0.9723,0.9588,0.9582,0.9533,0.9531,0.00201871630509822,0.0010014751583955401,-4.1799958304983607e-4,-0.6940706975674038,0.0266971823510034,0.02660811801750578,10000,10001,1,9.999000099990002e-5,3.1181
60,50,20,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,1000,500,yes,yes,0.5882,0.6687,0.6704,0.5876,0.5882,0.5655,0.5656,0.00631950156573686,0.00229737524263475,2.0880495644076243e-4,-0.4041148474657901,0.02968856074519405,0.02960742972738654,10000,10001,1,9.999000099990002e-5,3.1935
