scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
18,100,20,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,2000,1000,yes
19,50,50,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,2500,1250,no
20,50,50,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,2500,1250,no
21,50,50,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,2500,1250,no
22,50,100,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,5000,2500,no
23,50,100,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,5000,2500,no
24,50,100,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,5000,2500,no
25,50,10,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,500,250,yes
26,50,10,0.6931471805599453,0.01,0.00516193896906859,0.00302430660231293,-0.00200522175118085,0.00516193896906859,0.0049516011079108,bell,-1.9090897753161955,2.602236955952833,0.02503081431855272,500,250,yes
27,50,10,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,500,250,yes
