scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,mean_est_rho_1_1,mean_est_rho_1_2,mean_est_rho_2_2,mean_est_rho_1_3,mean_est_rho_2_3,mean_est_rho_3_3
22,50,100,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,bell,5000,2500,-2.0218684352947047,0.20273259646872627,2.4273336849138403,no,no,1,1,1,1,1,-0.4038430363179332,0.00348691549832473,0.003476718135684,10000,10000,0,0,2.524,0.00451885283854921,0.00109496209951996,0.00171231714621628,-0.00250559699485265,-7.945309950406692e-4,0.00172398469928047
23,50,100,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,bell,5000,2500,-2.03302431246567,0.2027326357546678,2.438489820941849,no,no,0.9999,0.9999,0.9999,0.9998,0.9998,-0.4024190205102727,0.00424560297789598,0.00422659398671174,10000,10000,0,0,2.6713,0.00901693051931809,0.00224013533641548,0.00353419338346622,-0.00504082667665239,-0.00167675380229643,0.00351718551852911
24,50,100,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,bell,5000,2500,-2.067548456966534,0.202732628745128,2.473013951513486,no,no,0.9959,0.9959,0.9959,0.995,0.9951,-0.3982667179690027,0.00656953797994593,0.00654199044538021,10000,10000,0,0,3.0364,0.02367278058054161,0.00542731522099262,0.00965638590988324,-0.0130473262981515,-0.00468921031164,0.00967747480328733
25,50,10,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,bell2,500,250,-2.021868458385526,1.0624921415811426,2.427333182860899,yes,yes,0.4067,0.7021,0.699,0.4205,0.4067,-0.3992713717818167,0.02390470305654553,0.02492195181445178,10000,10267,267,0.02600564916723483,22.315511680187665,0.00172306128391725,7.6518116842315e-4,-3.6994840653006465e-4,-0.00105782331966231,9.389606592899456e-4,-0.0012776688466128
26,50,10,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,bell2,500,250,-2.033023753051062,1.0667846664317633,2.438490454034623,yes,yes,0.376,0.6676,0.6662,0.3914,0.376,-0.4065513299806699,0.02853892513678598,0.02990204018966541,10000,10276,276,0.02685869988322304,22.898230521067553,0.00515158406469728,0.0013678022469739,0.00187167965940454,-0.002973599694402,2.5076795049682995e-4,2.6480528165063945e-4
27,50,10,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,bell2,500,250,-2.067548284392464,1.080067558522768,2.473014182070595,yes,yes,0.2851,0.5715,0.5672,0.3024,0.2851,-0.40447972077659605,0.04263568889063226,0.04406778763248827,10000,10273,273,0.02657451572082157,21.488862722009618,0.01646625506523152,0.00205007415503473,0.00765869760210783,-0.00840149203780819,-0.00196286837586219,0.00413891721533247
28,50,20,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,bell2,1000,500,-2.021868458385526,1.0624921415811426,2.427333182860899,yes,yes,0.7795,0.8619,0.862,0.7795,0.7795,-0.40750251358230455,0.01566728115065944,0.01581896835979486,10000,10004,4,3.9984006397441024e-4,4.424930027988805,0.0025299770443984,5.264237760444903e-4,7.352058084024521e-4,-0.00143372812643247,1.9383887953695837e-4,-4.2321490675667656e-5
29,50,20,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,bell2,1000,500,-2.033023753051062,1.0667846664317633,2.438490454034623,yes,yes,0.7143,0.8143,0.8143,0.7129,0.7143,-0.4063197288227352,0.01874224142888653,0.018852798803465,10000,10006,6,5.996402158704777e-4,4.5469812075169935,0.00676898879882587,6.434380364222715e-4,0.00309906729507183,-0.00328232436765752,-5.77416291328854e-4,0.00126961451959623
30,50,20,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,bell2,1000,500,-2.067548284392464,1.080067558522768,2.473014182070595,yes,yes,0.5607,0.6757,0.6787,0.5589,0.5607,-0.405564771942449,0.02867303176388019,0.02863810329117686,10000,10003,3,2.9991002699190244e-4,4.749850029994001,0.01999275987947343,0.00114270088472964,0.01014770339749494,-0.00926718507530163,-0.00263950838348677,0.00531154607469707
31,50,50,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,bell2,2500,1250,-2.021868458385526,1.0624921415811426,2.427333182860899,no,no,0.9912,0.9909,0.9912,0.988,0.9881,-0.4040212555589167,0.007331057166042,0.00731696117252168,10000,10000,0,0,2.9308,0.00366509022190553,3.702747140726189e-4,0.00158266389628568,-0.00172140290830873,-4.366189329610857e-4,8.113912794907298e-4
32,50,50,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,bell2,2500,1250,-2.033023753051062,1.0667846664317633,2.438490454034623,no,no,0.9778,0.9777,0.9778,0.9703,0.9705,-0.402938090185778,0.00895386262562984,0.00891308911076015,10000,10000,0,0,3.0622,0.00873298291422223,4.1417639367802354e-4,0.00406284350656304,-0.00393330594044967,-0.00105289899093016,0.00217310548062786
33,50,50,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,bell2,2500,1250,-2.067548284392464,1.080067558522768,2.473014182070595,no,no,0.9015,0.9016,0.9015,0.8814,0.8821,-0.39915312240819995,0.01370812094327953,0.01360645353386936,10000,10000,0,0,3.4338,0.02225765498184401,0.00110419613308842,0.01090455225404156,-0.0100241994975248,-0.00347232494280608,0.00640617885582892
34,50,100,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,bell2,5000,2500,-2.021868458385526,1.0624921415811426,2.427333182860899,no,no,1,1,1,1,1,-0.404571575064325,0.00391204869784523,0.00389780516138205,10000,10000,0,0,2.5286,0.00440518761641381,2.917727407889101e-4,0.00200189188155835,-0.00201463819406446,-5.642175893882207e-4,0.00114235975304186
35,50,100,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,bell2,5000,2500,-2.033023753051062,1.0667846664317633,2.438490454034623,no,no,0.9998,0.9998,0.9998,0.9998,0.9998,-0.4043642633219474,0.00479804558397655,0.00476986414349862,10000,10000,0,0,2.6707,0.00934598431893089,3.771208702173647e-4,0.00442417307346939,-0.0040881988330907296,-0.00131252238875975,0.00251609560736424
36,50,100,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,bell2,5000,2500,-2.067548284392464,1.080067558522768,2.473014182070595,no,no,0.9933,0.993,0.9933,0.9914,0.9916,-0.3979350494011405,0.00737165100211802,0.00731271137350222,10000,10000,0,0,3.037,0.02372841846419498,8.023079688073633e-4,0.0112364864586943,-0.01040024987622933,-0.00372175841442053,0.00683854963989059
37,50,10,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,common,500,250,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,yes,yes,0.4248,0.7007,0.7,0.4251,0.4248,-0.4020048748004639,0.02394354859761665,0.02397914967125355,10000,10093,93,0.0092143069454077,12.31806438791733,0.00132078941630407,0.00111751355074761,-0.00135187858899801,4.4215367997117017e-4,6.74443669671472e-4,-0.00148217373361132
38,50,10,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,common,500,250,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,yes,yes,0.3872,0.6679,0.6666,0.388,0.3872,-0.4006161143123778,0.02833555844496361,0.02844183159925903,10000,10098,98,0.00970489205783323,12.816764326149569,0.00444169954601444,0.00228981692810294,-5.869191261962019e-4,8.889851520486309e-4,0.00124625535255187,-9.253076849011872e-4
39,50,10,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,common,500,250,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,yes,yes,0.3038,0.5699,0.5717,0.3046,0.3038,-0.4009996262419612,0.04326151950548291,0.04334545761827912,10000,10170,170,0.01671583087512291,17.110759493670887,0.01401765326323372,0.00617227692074866,0.00178540582675631,0.00265100396923257,0.00321020632331617,0.00132962531438472
40,50,20,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,common,1000,500,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,yes,yes,0.7806,0.8633,0.8643,0.7804,0.7806,-0.4053732539568882,0.01554826560676342,0.01554463266887252,10000,10000,0,0,3.8719,0.00241768894759508,0.00111974505139457,-3.2798404377883247e-4,4.8211927404157127e-4,6.111868033427795e-4,-4.872226641872521e-4
41,50,20,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,common,1000,500,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,yes,yes,0.7061,0.8061,0.8067,0.7058,0.7061,-0.40482113776947354,0.01875072554817306,0.01870131695915546,10000,10001,1,9.999000099990002e-5,4.071192880711929,0.00691478507114492,0.00258047707350846,4.768741753612185e-4,8.966058720944311e-4,0.00126450743200191,2.891311447709967e-4
42,50,20,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,common,1000,500,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,yes,yes,0.5529,0.6721,0.6716,0.5518,0.5529,-0.402769596412604,0.02814401902733259,0.02804370652868851,10000,10006,6,5.996402158704777e-4,4.816310213871677,0.01915401954470776,0.00670414326726776,0.00309779312301222,0.00236027083217676,0.00329283433310928,0.00247756711722347
43,50,50,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,common,2500,1250,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,no,no,0.9918,0.9917,0.9918,0.9898,0.9898,-0.4050727251511244,0.00723754079449329,0.00723279405925748,10000,10000,0,0,2.8384,0.00397592550445822,0.00132138810214226,3.9420531444355654e-4,4.859591830824054e-4,6.441993273990209e-4,3.027213863463542e-4
44,50,50,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,common,2500,1250,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,no,no,0.9795,0.9793,0.9795,0.9728,0.973,-0.4031219463147883,0.00868029937410063,0.00866512233392463,10000,10000,0,0,2.937,0.00855923036967152,0.00275955786683344,0.00133927155651676,9.9053032229423e-4,0.00123920169556338,9.868521545035906e-4
45,50,50,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,common,2500,1250,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,no,no,0.9145,0.9136,0.9145,0.8952,0.897,-0.4004912391304382,0.01307739979018557,0.01305319384691981,10000,10000,0,0,3.1378,0.0226234900045741,0.0069560615381342,0.00414636684008836,0.00227823630305485,0.00337816052830472,0.00336981520320306
46,50,100,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,common,5000,2500,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,no,no,1,1,1,1,1,-0.4040447416736304,0.00381151648162922,0.00380812025734293,10000,10000,0,0,2.4407,0.00469230432285551,0.00140872097777206,6.713084973990314e-4,4.158877394705476e-4,6.86425118730489e-4,4.810782001679744e-4
47,50,100,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,common,5000,2500,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,no,no,0.9994,0.9994,0.9994,0.9993,0.9993,-0.402221884501969,0.00460644640647343,0.00460094384843611,10000,10000,0,0,2.5136,0.00919376332075943,0.00289900739757197,0.00160260375933822,9.971766353446996e-4,0.00137536806663431,0.00123814530565185
48,50,100,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,common,5000,2500,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,no,no,0.9946,0.9946,0.9946,0.9935,0.9936,-0.3978200958312652,0.0069050217878382,0.00689249424920655,10000,10000,0,0,2.7111,0.02384430680890872,0.00723026773213761,0.00434467232709342,0.00235773961834098,0.00336915583917128,0.00354793331308571
49,50,10,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,even,500,250,-0.911646705010349,0.2027325451854841,1.317111793888632,yes,yes,0.4887,0.7588,0.7573,0.494,0.4887,-0.4063277881239939,0.02005140869905426,0.02047246945405267,10000,10052,52,0.00517309988062077,7.37925881649731,0.00130453636377562,8.974024352803872e-4,-0.00139173869557549,-3.1145076643742525e-4,9.079805598206036e-4,-0.00144563780555011
50,50,10,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,even,500,250,-0.9172139192349448,0.2027325416295258,1.3226790007905478,yes,yes,0.4269,0.7022,0.7033,0.4342,0.4269,-0.4035221078919013,0.02508298299083564,0.02534419450361397,10000,10046,46,0.00457893689030459,7.071385842472583,0.00606086420462219,0.00145699890165044,-8.717719516858186e-4,-0.00142620851496055,0.00119095959914778,-7.747381518894447e-4
51,50,10,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,even,500,250,-0.9344430726917672,0.2027325299515743,1.339908132540895,yes,yes,0.3331,0.5989,0.5985,0.3362,0.3331,-0.4056378370999197,0.03919303268221572,0.03979231979010082,10000,10070,70,0.00695134061569016,9.377215694084844,0.01929336480241376,0.00259181357605336,0.0014814653555802,-0.00522513477763709,0.00189324388479121,0.00127645822357696
52,50,20,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,even,1000,500,-0.911646705010349,0.2027325451854841,1.317111793888632,yes,yes,0.8294,0.8966,0.8982,0.828,0.8294,-0.4060200541761903,0.01350343720622735,0.01354798525838346,10000,10000,0,0,3.8839,0.00312953719528987,6.455024044175263e-4,-3.173877719570249e-4,-7.878133818106228e-4,5.253717279110471e-4,-3.7419804073352865e-4
53,50,20,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,even,1000,500,-0.9172139192349448,0.2027325416295258,1.3226790007905478,yes,yes,0.7671,0.8457,0.8488,0.7653,0.7671,-0.40613362649217344,0.01634409746987914,0.01639346339738755,10000,10000,0,0,3.9784,0.0076410089079382,9.34164173310646e-4,3.576500098461797e-4,-0.0020833648498833,8.818534993726986e-4,3.784586668373895e-4
54,50,20,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,even,1000,500,-0.9344430726917672,0.2027325299515743,1.339908132540895,yes,yes,0.5933,0.7028,0.7057,0.593,0.5933,-0.40358719895946454,0.02603578895060821,0.02591920489793488,10000,10000,0,0,4.2799,0.02114911424293719,0.00260367459677704,0.00242651149154836,-0.00590073520054697,0.00155377001544608,0.0025017069575936
55,50,50,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,even,2500,1250,-0.911646705010349,0.2027325451854841,1.317111793888632,no,no,0.9966,0.9965,0.9966,0.9943,0.9945,-0.4038073865942822,0.00621942481805211,0.00621001396134318,10000,10000,0,0,2.8403,0.00399917624863679,5.859789943969187e-4,2.136915721273662e-4,-0.00105613271511656,4.026088204450557e-4,2.1000486629203425e-4
56,50,50,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,even,2500,1250,-0.9172139192349448,0.2027325416295258,1.3226790007905478,no,no,0.9848,0.9843,0.9848,0.9792,0.9802,-0.40387436925437464,0.00774610623394615,0.00771259201256881,10000,10000,0,0,2.9596,0.00901600401890936,9.762471733513212e-4,9.715629524299696e-4,-0.00244341517773024,5.679202032630599e-4,9.759587019207036e-4
57,50,50,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,even,2500,1250,-0.9344430726917672,0.2027325299515743,1.339908132540895,no,no,0.9274,0.9264,0.9274,0.908,0.9097,-0.39905445718157295,0.01231767586147558,0.01222319786349943,10000,10000,0,0,3.2204,0.02366246650739893,0.0023977814828142,0.00322372590519112,-0.00661433756211682,0.0013020664315551,0.00315478150103437
58,50,100,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,even,5000,2500,-0.911646705010349,0.2027325451854841,1.317111793888632,no,no,1,1,1,1,1,-0.4046367243371232,0.00329488636893105,0.00328696414050652,10000,10000,0,0,2.4353,0.00456265750826669,5.466647681112021e-4,4.465326206561231e-4,-0.00124495934079584,2.984793965620862e-4,4.894505119729194e-4
59,50,100,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,even,5000,2500,-0.9172139192349448,0.2027325416295258,1.3226790007905478,no,no,0.9999,0.9999,0.9999,0.9997,0.9997,-0.40212599551079575,0.00407945939270098,0.00406055581511172,10000,10000,0,0,2.5417,0.00932083051938213,0.00100762180014499,0.00114933919163244,-0.002593137865319,4.960620731523357e-4,0.00118020620315689
